Timestep,Mean Timestep,Mean,Median,Min Reward,Max Reward
565000,165.53,-0.01,-1,-1,1
566000,165.57,-0.042,-1,-1,1
567000,165.6,-0.06,-1,-1,1
568000,165.64,-0.1,-1,-1,1
569000,165.68,-0.152,-1,-1,1
570000,165.71,-0.078,-1,-1,1
571000,165.76,-0.116,-1,-1,1
572000,165.8,-0.186,-1,-1,1
573000,165.83,-0.108,-1,-1,1
574000,165.88,-0.116,-1,-1,1
575000,165.92,-0.16,-1,-1,1
576000,165.96,-0.24,-1,-1,1
577000,166,-0.148,-1,-1,1
578000,166.03,-0.148,-1,-1,1
579000,166.07,-0.174,-1,-1,1
580000,166.1,-0.19,-1,-1,1
581000,166.14,-0.154,-1,-1,1
582000,166.16,-0.13,-1,-1,1
583000,166.19,-0.204,-1,-1,1
584000,166.22,-0.186,-1,-1,1
585000,166.28,-0.21,-1,-1,1
586000,166.31,-0.078,-1,-1,1
587000,166.34,-0.17,-1,-1,1
588000,166.38,-0.11,-1,-1,1
