episodes,mean timesteps,mean reward,median reward,min reward,max reward,mc action
214970,155.3,-0.2,-1.0,-1,1,"[7842972, 4684201, 11730661, 3155030, 11557042, 15708]"
214980,190.6,-0.4,-1.0,-1,1,"[7843451, 4684367, 11731105, 3155083, 11557806, 15708]"
214990,194.3,0.0,0.0,-1,1,"[7843958, 4684556, 11731422, 3155121, 11558698, 15708]"
215000,164.0,-0.6,-1.0,-1,1,"[7844345, 4684718, 11731738, 3155155, 11559439, 15708]"
215010,200.0,-0.2,-1.0,-1,1,"[7844700, 4684991, 11732126, 3155213, 11560365, 15708]"
215020,195.1,-0.4,-1.0,-1,1,"[7845096, 4685271, 11732547, 3155257, 11561174, 15709]"
215030,196.0,0.0,0.0,-1,1,"[7845558, 4685526, 11732989, 3155293, 11561939, 15709]"
215040,195.0,-0.2,-1.0,-1,1,"[7845927, 4685793, 11733532, 3155339, 11562664, 15709]"
215050,154.8,-0.8,-1.0,-1,1,"[7846268, 4685984, 11734010, 3155386, 11563155, 15709]"
215060,181.1,0.0,0.0,-1,1,"[7846556, 4686169, 11734733, 3155440, 11563716, 15709]"
215070,211.5,0.2,1.0,-1,1,"[7846988, 4686360, 11735470, 3155499, 11564412, 15709]"
215080,212.4,-0.6,-1.0,-1,1,"[7847429, 4686521, 11736224, 3155570, 11565109, 15709]"
215090,295.7,-0.2,-1.0,-1,1,"[7848156, 4686777, 11737120, 3155688, 11566069, 15709]"
215100,244.7,0.0,0.0,-1,1,"[7848842, 4686975, 11737767, 3155777, 11566896, 15709]"
215110,202.7,-0.2,-1.0,-1,1,"[7849304, 4687164, 11738252, 3155844, 11567720, 15709]"
215120,212.5,-0.2,-1.0,-1,1,"[7849868, 4687316, 11738835, 3155937, 11568453, 15709]"
215130,179.6,-0.4,-1.0,-1,1,"[7850454, 4687429, 11739230, 3156022, 11569070, 15709]"
215140,141.9,0.4,1.0,-1,1,"[7850835, 4687520, 11739617, 3156067, 11569585, 15709]"
215150,252.3,-0.2,-1.0,-1,1,"[7851439, 4687724, 11740223, 3156145, 11570616, 15709]"
215160,175.9,-0.2,-1.0,-1,1,"[7851844, 4687843, 11740554, 3156194, 11571471, 15709]"
215170,180.3,-0.2,-1.0,-1,1,"[7852167, 4687981, 11741000, 3156238, 11572323, 15709]"
215180,173.8,-0.4,-1.0,-1,1,"[7852486, 4688135, 11741473, 3156297, 11573056, 15709]"
215190,181.5,-1.0,-1.0,-1,-1,"[7852780, 4688267, 11742053, 3156354, 11573808, 15709]"
215200,211.0,-0.4,-1.0,-1,1,"[7853135, 4688391, 11742882, 3156397, 11574566, 15710]"
215210,247.0,-0.2,-1.0,-1,1,"[7853613, 4688517, 11743725, 3156462, 11575524, 15710]"
215220,209.3,-0.6,-1.0,-1,1,"[7853952, 4688666, 11744563, 3156550, 11576203, 15710]"
215230,152.9,-0.4,-1.0,-1,1,"[7854235, 4688752, 11745235, 3156593, 11576648, 15710]"
215240,227.7,-0.4,-1.0,-1,1,"[7854574, 4688868, 11746397, 3156664, 11577237, 15710]"
215250,160.0,0.2,1.0,-1,1,"[7854823, 4688960, 11747121, 3156725, 11577711, 15710]"
215260,222.2,-0.6,-1.0,-1,1,"[7855198, 4689111, 11747977, 3156840, 11578436, 15710]"
215270,237.1,0.4,1.0,-1,1,"[7855557, 4689286, 11748983, 3156931, 11579176, 15710]"
215280,160.8,-0.2,-1.0,-1,1,"[7855857, 4689426, 11749575, 3156990, 11579692, 15711]"
215290,261.1,-0.2,-1.0,-1,1,"[7856303, 4689700, 11750434, 3157088, 11580626, 15711]"
215300,220.3,-0.6,-1.0,-1,1,"[7856738, 4689903, 11751009, 3157152, 11581552, 15711]"
215310,156.9,-0.8,-1.0,-1,1,"[7857048, 4690013, 11751437, 3157191, 11582234, 15711]"
215320,137.7,0.0,0.0,-1,1,"[7857311, 4690128, 11751720, 3157220, 11582921, 15711]"
215330,132.0,0.2,1.0,-1,1,"[7857578, 4690245, 11752076, 3157258, 11583463, 15711]"
215340,167.6,0.4,1.0,-1,1,"[7857868, 4690376, 11752571, 3157295, 11584186, 15711]"
215350,142.9,-0.2,-1.0,-1,1,"[7858161, 4690496, 11753035, 3157318, 11584715, 15711]"
215360,180.0,-0.4,-1.0,-1,1,"[7858435, 4690691, 11753776, 3157356, 11585267, 15711]"
215370,176.9,0.4,1.0,-1,1,"[7858714, 4690868, 11754430, 3157381, 11585901, 15711]"
215380,225.9,-0.4,-1.0,-1,1,"[7859128, 4691056, 11755374, 3157415, 11586580, 15711]"
215390,166.3,-0.4,-1.0,-1,1,"[7859407, 4691208, 11756073, 3157444, 11587084, 15711]"
215400,169.1,-0.6,-1.0,-1,1,"[7859666, 4691320, 11756910, 3157471, 11587540, 15711]"
215410,211.3,-0.6,-1.0,-1,1,"[7859898, 4691488, 11757849, 3157500, 11588285, 15711]"
215420,221.6,-0.2,-1.0,-1,1,"[7860263, 4691662, 11758812, 3157530, 11588969, 15711]"
215430,291.8,-0.4,-1.0,-1,1,"[7860756, 4691870, 11760204, 3157573, 11589751, 15711]"
215440,226.8,-0.6,-1.0,-1,1,"[7861031, 4692049, 11761422, 3157611, 11590309, 15711]"
215450,177.6,-0.4,-1.0,-1,1,"[7861312, 4692201, 11762243, 3157664, 11590778, 15711]"
215460,171.8,-0.6,-1.0,-1,1,"[7861593, 4692372, 11762991, 3157714, 11591246, 15711]"
215470,218.4,-0.6,-1.0,-1,1,"[7862022, 4692571, 11763871, 3157792, 11591844, 15711]"
215480,184.7,-1.0,-1.0,-1,-1,"[7862407, 4692733, 11764697, 3157849, 11592261, 15711]"
215490,195.6,0.0,0.0,-1,1,"[7862874, 4692940, 11765495, 3157892, 11592702, 15711]"
215500,150.6,0.0,0.0,-1,1,"[7863297, 4693113, 11766024, 3157910, 11593065, 15711]"
215510,164.5,0.2,1.0,-1,1,"[7863771, 4693293, 11766568, 3157938, 11593484, 15711]"
215520,147.5,0.0,0.0,-1,1,"[7864266, 4693421, 11766956, 3157977, 11593908, 15712]"
215530,174.3,-0.4,-1.0,-1,1,"[7864784, 4693628, 11767490, 3158026, 11594343, 15712]"
215540,164.0,0.0,0.0,-1,1,"[7865291, 4693848, 11767954, 3158102, 11594716, 15712]"
215550,164.0,0.0,0.0,-1,1,"[7865824, 4694058, 11768347, 3158180, 11595142, 15712]"
215560,166.5,-0.6,-1.0,-1,1,"[7866318, 4694294, 11768794, 3158287, 11595523, 15712]"
215570,233.9,-0.4,-1.0,-1,1,"[7866906, 4694606, 11769437, 3158435, 11596171, 15712]"
215580,196.5,0.0,0.0,-1,1,"[7867503, 4694916, 11769875, 3158536, 11596690, 15712]"
215590,231.7,-0.2,-1.0,-1,1,"[7868265, 4695227, 11770438, 3158646, 11597261, 15712]"
215600,217.4,-0.4,-1.0,-1,1,"[7869002, 4695519, 11770955, 3158729, 11597805, 15713]"
