episodes,mean timesteps,mean reward,median reward,min reward,max reward,stop,up,left,down,right,bomb
25160, 21.1, -1.0, -1.0, -1, -1, 0.15217391304347827, 0.18043478260869567, 0.1565217391304348, 0.2, 0.17608695652173914, 0.13478260869565217
25180, 29.0, -1.0, -1.0, -1, -1, 0.14871794871794872, 0.19487179487179487, 0.19316239316239317, 0.17435897435897435, 0.17606837606837608, 0.11282051282051282
25200, 27.4, -1.0, -1.0, -1, -1, 0.17590822179732313, 0.18546845124282982, 0.21032504780114722, 0.1491395793499044, 0.15487571701720843, 0.124282982791587
25220, 24.1, -1.0, -1.0, -1, -1, 0.13706563706563707, 0.19498069498069498, 0.20463320463320464, 0.1891891891891892, 0.1525096525096525, 0.12162162162162163
25240, 20.6, -1.0, -1.0, -1, -1, 0.2, 0.1619047619047619, 0.19285714285714287, 0.18333333333333332, 0.1619047619047619, 0.1
25260, 23.5, -1.0, -1.0, -1, -1, 0.16204690831556504, 0.16844349680170576, 0.19616204690831557, 0.16631130063965885, 0.16204690831556504, 0.14498933901918976
25280, 21.8, -1.0, -1.0, -1, -1, 0.1658653846153846, 0.15144230769230768, 0.18509615384615385, 0.18509615384615385, 0.17548076923076922, 0.13701923076923078
25300, 37.3, -1.0, -1.0, -1, -1, 0.14974182444061962, 0.18588640275387264, 0.19793459552495696, 0.17555938037865748, 0.1721170395869191, 0.11876075731497418
25320, 34.5, -1.0, -1.0, -1, -1, 0.16326530612244897, 0.18537414965986396, 0.21428571428571427, 0.1683673469387755, 0.17346938775510204, 0.09523809523809523
25340, 27.2, -1.0, -1.0, -1, -1, 0.15901060070671377, 0.15724381625441697, 0.196113074204947, 0.1872791519434629, 0.16431095406360424, 0.13604240282685512
25360, 24.1, -1.0, -1.0, -1, -1, 0.15172413793103448, 0.17471264367816092, 0.18160919540229886, 0.18850574712643678, 0.16551724137931034, 0.13793103448275862
25380, 28.5, -0.8, -1.0, -1, 1, 0.16901408450704225, 0.1936619718309859, 0.20774647887323944, 0.16901408450704225, 0.14788732394366197, 0.11267605633802817
25400, 24.4, -1.0, -1.0, -1, -1, 0.17038539553752535, 0.18661257606490872, 0.1643002028397566, 0.1845841784989858, 0.15618661257606492, 0.13793103448275862
25420, 20.0, -1.0, -1.0, -1, -1, 0.15207373271889402, 0.15668202764976957, 0.1935483870967742, 0.195852534562212, 0.16359447004608296, 0.1382488479262673
25440, 42.1, -1.0, -1.0, -1, -1, 0.1509433962264151, 0.20174165457184326, 0.19738751814223512, 0.18722786647314948, 0.15384615384615385, 0.10885341074020319
25460, 25.6, -1.0, -1.0, -1, -1, 0.1637239165329053, 0.17335473515248795, 0.17335473515248795, 0.21669341894060995, 0.14606741573033707, 0.12680577849117175
25480, 26.7, -1.0, -1.0, -1, -1, 0.1468682505399568, 0.1879049676025918, 0.17926565874730022, 0.17926565874730022, 0.17926565874730022, 0.12742980561555076
