episodes,mean timesteps,mean reward,median reward,min reward,max reward,stop,up,left,down,right,bomb
15060, 182.5, -0.6, -1.0, -1, 1, 0.5675507020280811, 0.090795631825273, 0.22870514820592824, 0.011232449297971918, 0.10171606864274571, 0.0
15080, 215.4, -0.2, -1.0, -1, 1, 0.5810113519091847, 0.0890092879256966, 0.21388028895768835, 0.012125902992776058, 0.10397316821465429, 0.0
15100, 218.2, 0.2, 1.0, -1, 1, 0.5786654764561482, 0.09618388752510601, 0.2171390314661906, 0.012274045971881276, 0.09573755858067395, 0.0
15120, 224.9, 0.0, 0.0, -1, 1, 0.5830013280212484, 0.08552456839309429, 0.20371845949535192, 0.012749003984063745, 0.1150066401062417, 0.0
15140, 237.7, -0.4, -1.0, -1, 1, 0.5570786516853933, 0.10516853932584269, 0.20674157303370785, 0.013707865168539326, 0.11730337078651686, 0.0
15160, 141.5, 0.0, 0.0, -1, 1, 0.5534167468719923, 0.08533846647417388, 0.22906641000962463, 0.015720243824189926, 0.11645813282001925, 0.0
15180, 185.5, 0.2, 1.0, -1, 1, 0.5616901408450704, 0.09352112676056339, 0.21464788732394366, 0.015492957746478873, 0.11464788732394367, 0.0
15200, 180.8, -0.4, -1.0, -1, 1, 0.5439757375241246, 0.09456851392335264, 0.22746071133167908, 0.014336917562724014, 0.11910669975186104, 0.0005514199062586159
15220, 194.4, -0.6, -1.0, -1, 1, 0.576004835297673, 0.11090964037473557, 0.1834391054699305, 0.011483831973405863, 0.11816258688425506, 0.0
15240, 200.9, -0.4, -1.0, -1, 1, 0.5893954918032787, 0.1014344262295082, 0.1880122950819672, 0.014344262295081968, 0.10681352459016394, 0.0
15260, 236.7, 0.0, 0.0, -1, 1, 0.5930232558139535, 0.09423449612403101, 0.19452519379844962, 0.011143410852713179, 0.10707364341085271, 0.0
15280, 154.0, 0.0, 0.0, -1, 1, 0.6039002557544757, 0.10613810741687979, 0.17103580562659845, 0.009910485933503837, 0.1090153452685422, 0.0
15300, 225.6, -0.8, -1.0, -1, 1, 0.6347675568743818, 0.09495548961424333, 0.14886251236399603, 0.010138476755687438, 0.11127596439169139, 0.0
